filename,language,transcript,translated_hi,translated_fr,translated_es,translated_de
en_commentary_01.wav,en,"Brilliant shot the batsman perfectly timed that cover drive sending the ball racing to the boundary. The crowd is on its feet, cheering with full excitement. The bowler looks slightly frustrated, but that's the beauty of the game. Every ball counts and the pressure is clearly visible on both sides. The fielding team is adjusting positions, hoping to break this partnership.","शानदार शॉट बल्लेबाज ने उस कवर ड्राइव को पूरी तरह से समय दिया और गेंद को बाउंड्री पर भेज दिया। भीड़ अपने पैरों पर खड़ी है, पूरे उत्साह के साथ जयकार कर रही है। गेंदबाज थोड़ा निराश दिखता है, लेकिन यही खेल की खूबसूरती है। हर गेंद मायने रखती है और दबाव दोनों तरफ स्पष्ट रूप से दिखाई देता है। फील्डिंग टीम पोजीशन एडजस्ट कर रही है, इस साझेदारी को तोड़ने की उम्मीद कर रही है।","Tir brillant, le batteur a parfaitement synchronisé ce drive de couverture, envoyant la balle à la limite. La foule est debout, acclamant avec toute l’excitation. Le lanceur a l’air légèrement frustré, mais c’est la beauté du jeu. Chaque balle compte et la pression est clairement visible des deux côtés. L’équipe de terrain ajuste ses positions, dans l’espoir de briser ce partenariat.","Tiro brillante, el bateador cronometró perfectamente ese drive de cobertura, enviando la pelota corriendo hacia el límite. La multitud está de pie, vitoreando con toda la emoción. El lanzador parece un poco frustrado, pero esa es la belleza del juego. Cada pelota cuenta y la presión es claramente visible en ambos lados. El equipo de campo está ajustando posiciones, con la esperanza de romper esta asociación.","Mit einem brillanten Wurf traf der Schlagmann den Deckungsdrive perfekt und schickte den Ball an die Grenze. Die Menge ist auf den Beinen und jubelt vor voller Begeisterung. Der Bowler sieht leicht frustriert aus, aber das ist das Schöne an dem Spiel. Jeder Ball zählt und der Druck ist auf beiden Seiten deutlich sichtbar. Das Feldteam passt die Positionen an, in der Hoffnung, diese Partnerschaft zu brechen."
en_general_04.wav,en,"I think it's important to take small breaks throughout the day. We often get caught up in work and forget to pause for a moment. Just stepping outside, stretching a bit, or talking to your friend can refresh your mind. I have realized that productivity is not about doing everything at once. It's about staying consistent and calm. Taking care of yourself mentally is just as important as meeting deadlines.","मुझे लगता है कि पूरे दिन छोटे-छोटे ब्रेक लेना महत्वपूर्ण है। हम अक्सर काम में फंस जाते हैं और एक पल के लिए रुकना भूल जाते हैं। बस बाहर निकलना, थोड़ा खिंचाव करना या अपने दोस्त से बात करना आपके दिमाग को तरोताजा कर सकता है। मैंने महसूस किया है कि उत्पादकता एक ही बार में सब कुछ करने के बारे में नहीं है। यह लगातार और शांत रहने के बारे में है। मानसिक रूप से अपना ख्याल रखना उतना ही महत्वपूर्ण है जितना कि समय सीमा को पूरा करना।","Je pense qu’il est important de faire de petites pauses tout au long de la journée. Nous sommes souvent pris par le travail et oublions de faire une pause un instant. Le simple fait de sortir, de s’étirer un peu ou de parler à votre ami peut vous rafraîchir l’esprit. J’ai réalisé que la productivité ne consiste pas à tout faire en même temps. Il s’agit de rester cohérent et calme. Prendre soin de soi mentalement est tout aussi important que de respecter les délais.","Creo que es importante tomar pequeños descansos a lo largo del día. A menudo nos quedamos atrapados en el trabajo y nos olvidamos de hacer una pausa por un momento. El simple hecho de salir, estirarse un poco o hablar con tu amigo puede refrescar tu mente. Me he dado cuenta de que la productividad no se trata de hacer todo a la vez. Se trata de mantener la coherencia y la calma. Cuidarse mentalmente es tan importante como cumplir con los plazos.","Ich finde es wichtig, über den Tag verteilt kleine Pausen einzulegen. Oft verfangen wir uns in der Arbeit und vergessen, einen Moment innezuhalten. Einfach nach draußen zu gehen, sich ein wenig zu dehnen oder mit deinem Freund zu sprechen, kann deinen Geist erfrischen. Ich habe erkannt, dass es bei Produktivität nicht darum geht, alles auf einmal zu erledigen. Es geht darum, konsequent und ruhig zu bleiben. Sich mental um sich selbst zu kümmern, ist genauso wichtig wie das Einhalten von Fristen."
en_news_02.wav,en,"Good evening, you are listening to the daily tech update. In today's top story, a new Ai-powered device promises to make everyday task easier. The company claims this product can understand natural speech and assist users with scheduling, online shopping, and even emotional support. More updates will follow after the short break. Stay tuned for the latest in the world of technology.","शुभ संध्या, आप दैनिक तकनीकी अपडेट सुन रहे हैं। आज की शीर्ष कहानी में, एक नया एआई-संचालित डिवाइस रोजमर्रा के काम को आसान बनाने का वादा करता है। कंपनी का दावा है कि यह उत्पाद प्राकृतिक भाषण को समझ सकता है और उपयोगकर्ताओं को शेड्यूलिंग, ऑनलाइन शॉपिंग और यहां तक कि भावनात्मक समर्थन में सहायता कर सकता है। छोटे ब्रेक के बाद और अपडेट का पालन किया जाएगा। प्रौद्योगिकी की दुनिया में नवीनतम के लिए बने रहें।","Bonsoir, vous écoutez la mise à jour technologique quotidienne. Dans l’histoire d’aujourd’hui, un nouvel appareil alimenté par l’IA promet de faciliter les tâches quotidiennes. La société affirme que ce produit peut comprendre la parole naturelle et aider les utilisateurs à planifier, à faire des achats en ligne et même à obtenir un soutien émotionnel. D’autres mises à jour suivront après la courte pause. Restez à l’affût des dernières nouveautés dans le monde de la technologie.","Buenas noches, estás escuchando la actualización tecnológica diaria. En la historia principal de hoy, un nuevo dispositivo impulsado por IA promete facilitar las tareas diarias. La compañía afirma que este producto puede comprender el habla natural y ayudar a los usuarios con la programación, las compras en línea e incluso el apoyo emocional. Seguirán más actualizaciones después del breve descanso. Estén atentos a lo último en el mundo de la tecnología.","Guten Abend, Sie hören sich das tägliche technische Update an. In der heutigen Top-Story verspricht ein neues KI-gestütztes Gerät, die alltägliche Arbeit zu erleichtern. Das Unternehmen behauptet, dass dieses Produkt natürliche Sprache verstehen und Benutzer bei der Terminplanung, beim Online-Shopping und sogar bei der emotionalen Unterstützung unterstützen kann. Weitere Updates folgen nach der kurzen Pause. Bleiben Sie auf dem Laufenden für das Neueste in der Welt der Technologie."
en_story_03.wav,en,"There was a farmer who had a small piece of land. Every morning he worked hard, but the soil was rocky and dry. One day while digging, he found a potful of gold coins. Instead of keeping it, he handed it over to the village head. Impressed by his honesty, the head returned the pot and rewarded him with more land. From that day on, the farmer lived happily and the village remembered him as a honest man. The more or less simple honesty always brings peace.","एक किसान था जिसके पास जमीन का एक छोटा सा टुकड़ा था। हर सुबह वह कड़ी मेहनत करता था, लेकिन मिट्टी पथरीली और सूखी थी। एक दिन खुदाई करते समय उसे एक बर्तन भर सोने के सिक्के मिले। इसे रखने के बजाय उन्होंने इसे ग्राम प्रधान को सौंप दिया। उसकी ईमानदारी से प्रभावित होकर, सिर ने बर्तन लौटा दिया और उसे अधिक भूमि के साथ पुरस्कृत किया। उस दिन से, किसान खुशी से रहता था और गांव ने उसे एक ईमानदार व्यक्ति के रूप में याद किया। कमोबेश सरल ईमानदारी हमेशा शांति लाती है।","Il y avait un fermier qui avait un petit lopin de terre. Chaque matin, il travaillait dur, mais le sol était rocailleux et sec. Un jour, en creusant, il trouva un pot rempli de pièces d’or. Au lieu de le garder, il le remit au chef du village. Impressionné par son honnêteté, la tête rendit le pot et le récompensa avec plus de terre. À partir de ce jour, le fermier vécut heureux et le village se souvint de lui comme d’un homme honnête. L’honnêteté plus ou moins simple apporte toujours la paix.","Había un granjero que tenía un pequeño pedazo de tierra. Todas las mañanas trabajaba duro, pero el suelo era rocoso y seco. Un día, mientras cavaba, encontró una olla llena de monedas de oro. En lugar de quedárselo, se lo entregó al jefe de la aldea. Impresionado por su honestidad, el jefe le devolvió la olla y lo recompensó con más tierra. A partir de ese día, el granjero vivió feliz y el pueblo lo recordó como un hombre honesto. La honestidad más o menos simple siempre trae paz.","Es gab einen Bauer, der hatte ein kleines Stück Land. Jeden Morgen arbeitete er hart, aber der Boden war steinig und trocken. Eines Tages fand er beim Graben einen Topf voller Goldmünzen. Anstatt es zu behalten, übergab er es dem Dorfvorsteher. Beeindruckt von seiner Ehrlichkeit, gab der Kopf den Topf zurück und belohnte ihn mit mehr Land. Von diesem Tag an lebte der Bauer glücklich und das Dorf erinnerte sich an ihn als ehrlichen Mann. Die mehr oder weniger einfache Ehrlichkeit bringt immer Frieden."
en_weather_05.wav,en,"Good morning, here is Your local weather update. The city is waking up to clear skies and mild temperatures around 25°C. As the day progresses, expect a few scattered clouds and a gentle breeze from the southwest. Later in the evening, humidity levels may rise slightly. Overall, it's going to be a pleasant day, ideal for outdoor plants or a peaceful evening walk.","सुप्रभात, यहाँ आपका स्थानीय मौसम अपडेट है। शहर साफ आसमान और 25 डिग्री सेल्सियस के आसपास हल्के तापमान के साथ जाग रहा है।  जैसे-जैसे दिन आगे बढ़ता है, कुछ बिखरे हुए बादल और दक्षिण-पश्चिम से हल्की हवा चलने की उम्मीद है। बाद में शाम को आर्द्रता का स्तर थोड़ा बढ़ सकता है। कुल मिलाकर, यह एक सुखद दिन होने जा रहा है, जो बाहरी पौधों या शांतिपूर्ण शाम की सैर के लिए आदर्श है।","Bonjour, voici votre mise à jour météorologique locale. La ville se réveille sous un ciel dégagé et des températures douces autour de 25°C.  Au fur et à mesure que la journée avance, attendez-vous à quelques nuages épars et à une légère brise du sud-ouest. Plus tard dans la soirée, le taux d’humidité peut augmenter légèrement. Dans l’ensemble, ce sera une journée agréable, idéale pour les plantes d’extérieur ou une promenade paisible en soirée.","Buenos días, aquí está su actualización del clima local. La ciudad se despierta con cielos despejados y temperaturas suaves de alrededor de 25 ° C.  A medida que avanza el día, espere algunas nubes dispersas y una suave brisa del suroeste. Más tarde en la noche, los niveles de humedad pueden aumentar ligeramente. En general, será un día agradable, ideal para plantas al aire libre o un tranquilo paseo nocturno.","Guten Morgen, hier ist Ihr lokales Wetter-Update. Die Stadt erwacht bei klarem Himmel und milden Temperaturen um die 25°C.  Im Laufe des Tages können Sie mit ein paar vereinzelten Wolken und einer leichten Brise aus Südwesten rechnen. Später am Abend kann die Luftfeuchtigkeit leicht ansteigen. Insgesamt wird es ein angenehmer Tag, ideal für Pflanzen im Freien oder einen ruhigen Abendspaziergang."
hi_commentary_01.wav,hi,Vaak kya shandar ghol Mara kiladine dashko Mein ucha Ki lehar Daud gayi hai teamne batarin Tamil dikaya or vipaksha team bilkal chowgai maidan par uzaka star AB aurbi bad Gaya coach lagator nidesh de rahe hai or khiladi Puri takatse muqabla kar rahe hai.,वाक क्या शानदार घोल मारा किलदीने दशको में उचा की लहर दौड़ गयी है टेयमने बटरीन तमिल दिकाया ओर विपक्ष टीम बिलकल चौगाई मैदान पर उजका स्टार अब और्बी बड़ गया कोच लगटोर निदेश दे रहे है ओर खिलाड़ी पूरी तकतसे मुकाबला कर रहे है।,"Quel ballon spectaculaire Kildin a balayé à travers les décennies, avec l’opposition et l’opposition qui s’envolent maintenant vers le sol sous la direction de l’entraîneur Lagtor et les joueurs qui se battent de toute leur force.","Qué balón tan espectacular ha barrido Kildin a lo largo de las décadas, con la oposición y la oposición ahora volando al suelo con el entrenador Lagtor dirigiendo y los jugadores luchando con toda su fuerza.","Was für ein spektakulärer Ball, den Kildin im Laufe der Jahrzehnte gefegt hat, mit dem Gegner, und der Gegner, der jetzt zu Boden fliegt, unter der Leitung von Coach Lagtor und den Spielern, die sich mit voller Kraft wehren."
hi_general_04.wav,hi,Jeevan me kabhi kabhi chote chote pali amebadi seek deja TE hai kisi Ki madat karna muskurana ya bas dhanyavat kahana ye baati choti lagti hai lekin bahut asarda roti hai meni sika hai Ki Hardin kuchna kuch karne Ki koshish karni chahiye yahi jeevan ko saral aur sundar banate hai.,जीवन मे कभी कभी छोटे छोटे पाली अमेबादी सीक डेजा ते है किसी की मदत करना मुस्कुराना या बस धन्यवत कहना ये बाटी छोटी लगती है लेकिन बहुत असरदा रोटी है मेनी सिका है कि हार्डिन कुचना कूच करने की कोशिश करनी चाहिए यही जीवन को सरल और सुंदर बनाते है।,"Parfois dans la vie, les petits quarts de travail sont ameabadi chercher, aider quelqu’un, sourire ou simplement dire merci, ce bati semble petit mais c’est du pain très efficace, beaucoup de sica que hardin devrait essayer de marcher à la cuisine, cela rend la vie simple et belle.","A veces en la vida, los pequeños turnos son ameabadi buscar, para ayudar a alguien, para sonreír o simplemente decir gracias, este bati parece pequeño pero es pan muy efectivo, muchos sica que hardin debería intentar marchar a la cocina, esto hace que la vida sea simple y hermosa.","Manchmal im Leben sind kleine Schichten ameabadi suchen, jemandem zu helfen, zu lächeln oder einfach nur Danke zu sagen, dieses Bati scheint klein zu sein, aber es ist sehr effektives Brot, viele Sica, die Hardin versuchen sollte, in die Küche zu marschieren, das macht das Leben einfach und schön."
hi_news_02.wav,hi,Namaskar absun rahe hai aachka pariyawaran bulletin alhimi zari report Ki anusar Delhi aur Aspas ke ilako me vayu pradhushan kastar fise barne laga hai. Neither shanuka kehna hai Ki yadi am jaldi kadam nayi uta geto city or bigger sakti hai. Sarkar NI nagariki konsei nidhi vahan ka Kam istanal karne aur PED lagane Ki apil Ki hai aye amsab milkar swachh hawa keliye prayas kare.,नमस्कार अबसून रहे है आचका परियावरण बुलेटिन अलहिमी ज़ारी रिपोर्ट के अनुसार दिल्ली और आसपास के इलाको मे वायु प्रधुशन कस्तर फाइस बार्न लगा है। नीदर शानुका कहना है कि यदि एम जल्दी कदम नई उता गेटो किती ओर बिगर सकती है। सरकार नि नागरिकी कोनसे निधि वाहन का काम इस्तानल करने और पेड़ लगाने की अपिल की है आये अंसाब मिलकर स्वच्छ हवा केलिये प्रयास करे।,"Selon le rapport, la pollution de l’air a été installée à Delhi et dans les environs. Nether Shanuka dit que si M n’agit pas rapidement, le ghetto pourrait être si perturbateur. Le gouvernement a appelé les citoyens à utiliser les fonds et à planter des arbres et à travailler ensemble pour faire des efforts pour un air pur.","Según el informe, la contaminación del aire se ha instalado en Delhi y sus alrededores. Nether Shanuka dice que si M no se mueve rápidamente, el gueto podría ser muy perturbador. El gobierno ha hecho un llamamiento a los ciudadanos para que utilicen los fondos y planten árboles y trabajen juntos para hacer esfuerzos por un aire limpio.","Dem Bericht zufolge wurde in Delhi und Umgebung Luftverschmutzung installiert. Nether Shanuka sagt, dass das Ghetto so zerstörerisch sein könnte, wenn M nicht schnell handelt. Die Regierung hat an die Bürger appelliert, die Mittel zu nutzen, Bäume zu pflanzen und sich gemeinsam für saubere Luft einzusetzen."
hi_story_03.wav,hi,Ek vyapari apne gavse shehar JA rahata raste me use Ek thaili mili dismay baud sari Soni ke sikka de usne bina dekar vahaili polisko sobdi akhle din Maliki akar danevad kaha or me dedia vyaparine muskurakar kaha Ki imandari sabse bada inam hai uski ya baat sunkar SAB blog prabhavit ho Gaye.,एक व्यापारी अपने गवसे शहर जा रहता रास्ते मे उसे एक थैली मिली डिस्मे बाड सारी सोनी के सिक्का दे उसने बिना देकर वहैली पोलिसको सोबडी अखले दिन मलिकी आकर दानेवाड कहा ओर मे देदिया वायपरीन मुस्कुराकर कहा कि ईमानदारी सबसे बड़ा इनाम है उसकी या बात सुनकर सब ब्लॉग प्रभावित हो गये।,"Un homme d’affaires était en route pour la ville, il a pris un sac de disme mauvais, a donné toutes les pièces d’or, sans les donner, il est venu à la police le lendemain et a dit Danevad et je lui ai fait un sourire et j’ai dit que l’honnêteté est la plus grande récompense.","Un hombre de negocios se dirigía a la ciudad, consiguió una bolsa de disme bad, dio todas las monedas de oro, sin dársela, vino a la policía al día siguiente y dijo Danevad y le di una sonrisa y le dije que la honestidad es la mayor recompensa.","Ein Geschäftsmann war auf dem Weg in die Stadt, er bekam einen Sack mit schlechtem Disme, gab alle Goldmünzen, ohne es zu geben, er kam am nächsten Tag zur Polizei und sagte Danevad und ich lächelte ihn an und sagte, dass Ehrlichkeit die größte Belohnung ist."
hi_weather_05.wav,hi,Namaskar ajham bad karegi Delhi ke mausam Ki subat Sai halki tandi hawa chal rahi hai aur aasman Mein kuch Badal chaya wahai do pahar me doop todi TE O sakti hai like in Shan hote hai mosam fir suhana ban jayega kul milagar aaj ka din ghumne ya bahar samay bitane keliye kafi hacha rahega.,नमस्कार अज्हम बाद करेगी दिल्ली के मौसम की सुबत साई हल्की तांडी हवा चल रही है और आसमान में कुच बादल छाया वाही दो पहर मे डूप तोड़ी ते ओ सक्ती है लाइक इन शान होते है मोसम फिर सुहाना बन जाएगा कुल मिलगर आज का दिन घुमने या बाहर समय बिताने केलिये काफी हचा रहेगा।,"Bonjour Azham Baad Hogi Delhi Ke Mausat Ki Subat Sai Halki Tandi Hawa Rahi Hai Aur Sky Mein Kuch Badal Chhaya Wahi Do Pahar Mein Doop Todi O Sakti Hai Like In Shaan Hote Hai Mausam Phir Suhana Ban Jayega Dans l’ensemble, aujourd’hui sera une journée assez importante pour voyager ou passer du temps à l’extérieur.","Hola Azham Baad Hogi Delhi Ke Mausat Ki Subat Sai Halki Tandi Hawa Rahi Hai Aur Sky Mein Kuch Badal Chhaya Wahi Do Pahar Mein Doop Todi Te O Sakti Hai Como En Shaan Hote Hai Mausam Phir Suhana Ban Jayega En general, hoy será un día bastante bueno para viajar o pasar tiempo al aire libre.","Hallo Azham Baad Hogi Delhi Ke Mausat Ki Subat Sai Halki Tandi Hawa Rahi Hai Aur Sky Mein Kuch Badal Chhaya Wahi Do Pahar Mein Doop Todi Te O Sakti Hai Like In Shaan Hote Hai Mausam Phir Suhana Ban Jayega Insgesamt wird heute ein ziemlich langer Tag sein, um zu reisen oder Zeit im Freien zu verbringen."
