original_language,original_text,target_language,translated_text
en-US,"Communication technology has evolved rapidly in the last decade. Voice assistants, real-time translation and speech recognition systems are becoming part of everyday life.",hi,"पिछले दशक में संचार प्रौद्योगिकी तेजी से विकसित हुई है। वॉयस असिस्टेंट, रीयल-टाइम ट्रांसलेशन और स्पीच रिकग्निशन सिस्टम रोजमर्रा की जिंदगी का हिस्सा बनते जा रहे हैं।"
en-US,"Communication technology has evolved rapidly in the last decade. Voice assistants, real-time translation and speech recognition systems are becoming part of everyday life.",fr,"Les technologies de la communication ont évolué rapidement au cours de la dernière décennie. Les assistants vocaux, la traduction en temps réel et les systèmes de reconnaissance vocale font désormais partie de la vie quotidienne."
en-US,"Communication technology has evolved rapidly in the last decade. Voice assistants, real-time translation and speech recognition systems are becoming part of everyday life.",es,"La tecnología de la comunicación ha evolucionado rápidamente en la última década. Los asistentes de voz, la traducción en tiempo real y los sistemas de reconocimiento de voz se están convirtiendo en parte de la vida cotidiana."
en-US,"Communication technology has evolved rapidly in the last decade. Voice assistants, real-time translation and speech recognition systems are becoming part of everyday life.",de,"Die Kommunikationstechnologie hat sich in den letzten zehn Jahren rasant weiterentwickelt. Sprachassistenten, Echtzeit-Übersetzung und Spracherkennungssysteme werden Teil des täglichen Lebens."
en-US,The atmosphere in the stadium is electric. The home team needs just ten runs to win and the tension is rising with every ball. The captain looks focused as he takes his stance.,hi,स्टेडियम का माहौल बिजली का है। मेजबान टीम को जीत के लिए सिर्फ दस रनों की जरूरत है और हर गेंद के साथ तनाव बढ़ता जा रहा है। कप्तान अपना रुख अपनाते हुए केंद्रित दिखता है।
en-US,The atmosphere in the stadium is electric. The home team needs just ten runs to win and the tension is rising with every ball. The captain looks focused as he takes his stance.,fr,L’ambiance dans le stade est électrique. L’équipe à domicile n’a besoin que de dix points pour gagner et la tension monte à chaque balle. Le capitaine a l’air concentré lorsqu’il prend position.
en-US,The atmosphere in the stadium is electric. The home team needs just ten runs to win and the tension is rising with every ball. The captain looks focused as he takes his stance.,es,El ambiente en el estadio es eléctrico. El equipo local necesita solo diez carreras para ganar y la tensión aumenta con cada bola. El capitán parece concentrado mientras toma su postura.
en-US,The atmosphere in the stadium is electric. The home team needs just ten runs to win and the tension is rising with every ball. The captain looks focused as he takes his stance.,de,"Die Atmosphäre im Stadion ist elektrisierend. Die Heimmannschaft braucht nur zehn Runs zum Sieg und die Spannung steigt mit jedem Ball. Der Kapitän sieht konzentriert aus, als er seine Haltung einnimmt."
en-US,What a fantastic cover drive by the batsmen. The timing was perfect and the ball races away to the boundary. The crowd is loving this performance and the bowler looks a bit frustrated after that elegant shot.,hi,बल्लेबाजों द्वारा क्या शानदार कवर ड्राइव किया गया है। टाइमिंग एकदम सही थी और गेंद बाउंड्री की ओर दौड़ रही थी। दर्शकों को यह प्रदर्शन पसंद आ रहा है और गेंदबाज उस शानदार शॉट के बाद थोड़ा निराश नजर आ रहा है।
en-US,What a fantastic cover drive by the batsmen. The timing was perfect and the ball races away to the boundary. The crowd is loving this performance and the bowler looks a bit frustrated after that elegant shot.,fr,Quelle fantastique couverture de la part des batteurs. Le timing était parfait et la balle s’est envolée vers la limite. La foule adore cette performance et le lanceur a l’air un peu frustré après ce coup élégant.
