filename,original_text,hi_translation,fr_translation,es_translation,de_translation,latency
en_commentary1.wav,"Communication technology has evolved rapidly in the last decade. Voice assistants, real-time translation and speech recognition systems are becoming part of everyday life.","पिछले दशक में संचार प्रौद्योगिकी तेजी से विकसित हुई है। वॉयस असिस्टेंट, रीयल-टाइम ट्रांसलेशन और स्पीच रिकग्निशन सिस्टम रोजमर्रा की जिंदगी का हिस्सा बनते जा रहे हैं।","Les technologies de la communication ont évolué rapidement au cours de la dernière décennie. Les assistants vocaux, la traduction en temps réel et les systèmes de reconnaissance vocale font désormais partie de la vie quotidienne.","La tecnología de la comunicación ha evolucionado rápidamente en la última década. Los asistentes de voz, la traducción en tiempo real y los sistemas de reconocimiento de voz se están convirtiendo en parte de la vida cotidiana.","Die Kommunikationstechnologie hat sich in den letzten zehn Jahren rasant weiterentwickelt. Sprachassistenten, Echtzeit-Übersetzung und Spracherkennungssysteme werden Teil des täglichen Lebens.",1.228
en_commentary2.wav,The atmosphere in the stadium is electric. The home team needs just ten runs to win and the tension is rising with every ball. The captain looks focused as he takes his stance.,स्टेडियम का माहौल बिजली का है। मेजबान टीम को जीत के लिए सिर्फ दस रनों की जरूरत है और हर गेंद के साथ तनाव बढ़ता जा रहा है। कप्तान अपना रुख अपनाते हुए केंद्रित दिखता है।,L’ambiance dans le stade est électrique. L’équipe à domicile n’a besoin que de dix points pour gagner et la tension monte à chaque balle. Le capitaine a l’air concentré lorsqu’il prend position.,El ambiente en el estadio es eléctrico. El equipo local necesita solo diez carreras para ganar y la tensión aumenta con cada bola. El capitán parece concentrado mientras toma su postura.,"Die Atmosphäre im Stadion ist elektrisierend. Die Heimmannschaft braucht nur zehn Runs zum Sieg und die Spannung steigt mit jedem Ball. Der Kapitän sieht konzentriert aus, als er seine Haltung einnimmt.",1.052
en_commentary3.wav,What a fantastic cover drive by the batsmen. The timing was perfect and the ball races away to the boundary. The crowd is loving this performance and the bowler looks a bit frustrated after that elegant shot.,बल्लेबाजों द्वारा क्या शानदार कवर ड्राइव किया गया है। टाइमिंग एकदम सही थी और गेंद बाउंड्री की ओर दौड़ रही थी। दर्शकों को यह प्रदर्शन पसंद आ रहा है और गेंदबाज उस शानदार शॉट के बाद थोड़ा निराश नजर आ रहा है।,Quelle fantastique couverture de la part des batteurs. Le timing était parfait et la balle s’est envolée vers la limite. La foule adore cette performance et le lanceur a l’air un peu frustré après ce coup élégant.,Qué fantástica cobertura de los bateadores. El momento fue perfecto y la pelota se alejó hacia el límite. A la multitud le encanta esta actuación y el jugador de bolos parece un poco frustrado después de ese elegante tiro.,Was für ein fantastischer Cover-Drive der Schlagmänner. Das Timing war perfekt und der Ball raste bis zur Grenze. Das Publikum liebt diese Darbietung und der Bowler sieht nach diesem eleganten Wurf etwas frustriert aus.,0.794
en_news1.wav,"Hello, you are listening to today's top news. After a light rain this morning in Delhi, the weather has become pleasant, bringing relief from the heat.","हैलो, आप आज की बड़ी खबरें सुन रहे हैं। दिल्ली में आज सुबह हल्की बारिश के बाद मौसम सुहावना हो गया है, जिससे गर्मी से राहत मिली है।","Bonjour, vous écoutez les principales nouvelles du jour. Après une pluie légère ce matin à Delhi, le temps est devenu agréable, apportant un soulagement à la chaleur.","Hola, estás escuchando las principales noticias de hoy. Después de una ligera lluvia esta mañana en Delhi, el clima se ha vuelto agradable, aliviando el calor.","Hallo, Sie hören gerade die Top-Nachrichten von heute. Nach einem leichten Regen heute Morgen in Delhi ist das Wetter angenehm geworden und bringt Erleichterung von der Hitze.",0.823
en_news2.wav,"Today's weather remains mostly clear, with gentle winds in the morning. However, scattered thunderstorms are likely in the evening, especially around coastal areas.","आज का मौसम ज्यादातर साफ रहता है, सुबह हल्की हवाएं चल सकती हैं। हालांकि, शाम को छिटपुट गरज के साथ छींटे पड़ने की संभावना है, खासकर तटीय क्षेत्रों के आसपास।","Le temps d’aujourd’hui reste généralement dégagé, avec des vents doux le matin. Cependant, des orages épars sont probables dans la soirée, en particulier autour des zones côtières.","El clima de hoy permanece mayormente despejado, con vientos suaves por la mañana. Sin embargo, es probable que se produzcan tormentas eléctricas dispersas por la noche, especialmente alrededor de las zonas costeras.","Das heutige Wetter bleibt überwiegend klar, mit leichten Winden am Morgen. Am Abend sind jedoch vereinzelte Gewitter wahrscheinlich, vor allem in der Nähe der Küstengebiete.",0.812
hi_commentary1.wav,"Pichle dashakhmi sanjar takni ka teji se vikas Hua hai Voice Assistant, real-time translation or speech recognition system Rosemaraki Zindagi ka hisa banteja rahe hai.","पिछले दशखमी संजर तकनी का तेजी से विकास हुआ है वॉइस असिस्टेंट, रीयल-टाइम ट्रांसलेशन ओर स्पीच रिकग्निशन सिस्टम रोसेमरकी ज़िंदगी का हिसा बन्तेजा रहे है।","Au cours de la dernière décennie, les technologies de communication ont évolué rapidement, les assistants vocaux, les traductions en temps réel et les systèmes de reconnaissance vocale faisant désormais partie de la vie quotidienne.","Durante la última década, la tecnología de la comunicación ha evolucionado rápidamente, con asistentes de voz, traducciones en tiempo real y sistemas de reconocimiento de voz que se han convertido en parte de la vida cotidiana.","In den letzten zehn Jahren hat sich die Kommunikationstechnologie rasant weiterentwickelt, wobei Sprachassistenten, Echtzeitübersetzungen und Spracherkennungssysteme zu einem Teil des täglichen Lebens geworden sind.",1.969
hi_commentary2.wav,Stadium may Mahal Josh sibhara Hua hai. Garelu team ku jeetne ke liye basdas ran chahiye orhar gende ke saath tanav bharta jaara hai. Kaptaan apna ruk apna TE huye EKA grud dikhai hai.,स्टेडियम मे महल जोश सिभरा हुआ है। गरेलु टीम के जीतने के लिये बसदस रण चाहिये ओरहर गेंदे के साथ तनव भारता जारा है। कप्तान अपना रुक अपना ते हुए एका गृद दिखाई है।,Le palais dans le stade est plein d’enthousiasme. L’équipe Garelu a besoin d’une bonne série pour gagner. Le capitaine fit une pause et montra un sourire.,El palacio del estadio está lleno de entusiasmo. El equipo de Garelu necesita una buena racha para ganar. El capitán hizo una pausa y mostró una sonrisa.,"Der Palast im Stadion ist voller Enthusiasmus. Das Garelu-Team braucht einen starken Lauf, um zu gewinnen. Der Kapitän machte eine Pause und grinste.",1.068
hi_commentary3.wav,Aakhri over ke teesri gained on Bale baas ne chakka jardiya darshak afni seeto seut khade huye hai. Match of Puri Tara sero manchak mood for pahaj Gaya hai.,आखिरी ओवर के तीसरी गेन्ड ऑन बेल बास ने चक्का जर्डिया दर्शक अफनी सीटो सेउट खड़े हुए है। मैच ओएफ पुरी तारा सेरो मंचक मूड फोर पहाज गया है।,La troisième balle du dernier over a été lancée par la basse et le public est resté stupéfait. Le match de Puri Tara Sero Manchak Mood Four a eu lieu à Pahaz.,La tercera bola del último over fue lanzada por el bajo y la audiencia se quedó aturdida. El partido de Puri Tara Sero Manchak Mood Four ha sido para Pahaz.,Der dritte Ball des letzten Overs wurde vom Bass gebowlt und das Publikum stand wie benommen. Das Spiel von Puri Tara Sero Manchak Mood Four ist an Pahaz gegangen.,1.282
hi_news1.wav,Namskar AAP sun rahi hai aaj Ki pramukh kabre dili Mein aaj subah halki barish ke baad mausam suhavna ho Gaya hai. Jise logon ko garmi SE rahat mili hai.,नमस्कर आप सुन रही है आज की प्रमुख कबरे दिली में आज सुबह हल्की बारिश के बाद मौसम सुहावना हो गया है। जिसे लोगों को गर्मी से राहत मिली है।,"Bonjour, vous êtes à l’écoute de la grande tombe d’aujourd’hui Le temps est devenu agréable après de légères pluies ce matin à Dili. Ce qui a soulagé les gens de la chaleur.","Hola, estás escuchando la tumba mayor de hoy El clima se ha vuelto agradable después de la lluvia ligera de esta mañana en Dili. Lo que ha aliviado a la gente del calor.","Hallo, Sie hören das heutige große Grab Das Wetter ist nach leichtem Regen heute Morgen in Dili angenehm geworden. Das hat den Menschen Erleichterung von der Hitze verschafft.",1.49
hi_news2.wav,Aaj mausam zyadatar saaf rahega or subah halki Hawaii chalendi hala Ki shyam ko khaskar tatiya ilako me chitput garaj ke saath chheete parneki sambhavna hai.,आज मौसम ज़्यादातर साफ रहेगा और सुबह हल्की हवाई चलेंडी हाला की श्याम को खासकर तातिया इलाको मे चिटपुट गरज के साथ छीते परनेकी संभावना है।,"Le temps sera généralement dégagé aujourd’hui avec des vents légers le matin et il y a une possibilité d’orages épars, en particulier dans les régions de Tatiya.","El clima estará mayormente despejado hoy con vientos ligeros por la mañana y existe la posibilidad de tormentas eléctricas dispersas, especialmente en las áreas de Tatiya.","Das Wetter wird heute überwiegend klar sein mit leichtem Wind am Morgen und es besteht die Möglichkeit von vereinzelten Gewittern, insbesondere in den Tatiya-Gebieten.",1.625
