filename,language,transcript
en_1audio.wav,en,Looking with a half fantastic curiosity to see whether the tender grass of early spring.
en_2audio.wav,en,The stale smell of old beer lingers. It takes heat to bring out the odor. A cold dip restores health and zest. A salt pickle tastes fine with ham. Tacos al pastor are my favorite. A zestful food is the hot cross bun.
en_3audio.wav,en,"Lydia was Lydia, still untamed, unabashed, wild, noisy and fearless?"
en_4audio.wav,en,"Oh, he has been away from New York. He has been all round the world. He doesn't know many people here, but he's very sociable and he wants to know everyone."
en_5audio.wav,en,"I cannot face your fears or change your dreams, and you can't do that for me. But we can be supportive of each other."
hi_1audio.wav,hi,"अमेरिका पाकिस्तान के साथ अपने रणनीति संबंधों को मजबूत करने का अवसर देख रहा है, लेकिन यह भारत के साथ उसके ऐतिहासिक और महत्वपूर्ण संबंधों की नुकसान पर नहीं होगा।"
hi_2audio.wav,hi,"आज का दिन देश के लिए बहुत खास है। नए प्रोजेक्ट की शुरुआत हुई है, जिससे कई लोग उनको नौकरी मिलने की उम्मीद है।"
hi_3audio.wav,hi,दावा किया जाता है कि दिल्ली में प्रदूषण पर प्रभावी नियंत्रण किया जा रहा है। मगर एक तासा शोध में पाया गया है कि सब केवल मौसम का कमल है। हवा की गदी और बारिश से अलग हटकर देखा जाए तो पिछले पांच वर्षों के दौरान प्रदूषण के स्तर में कोई कमी नहीं आई है।
hi_4audio.wav,hi,सड़कों पर आज सुबह ट्रैफिक बहुत ज्यादा है। लोग ऑफिस पहुंचने की जल्दी में है। बस स्टैंड्स पर लंबी लाइन्स लगी हुई है। लोग अपनी बस का इंतजार कर रहे हैं। पूरे शहर में सुबह का रश क्लियरली नजर आ रहे हैं।
hi_5audio.wav,hi,हर व्यक्ति को अपने आसपास साफ सफाई बनाए रखनी चाहिए। स्वच्छता से हम अपने शहर को बेहतर बना सकते हैं।
