filename,language,language_name,transcript
en_01.wav,en-US,English,Working on an important project deadline.
en_02.wav,en-US,English,The weather is very pleasant and sunny today.
en_03.wav,en-US,English,Good morning. How are you doing today?
en_04.wav,en-US,English,I need to book a flight to Mumbai next week.
en_05.wav,en-US,English,I would like to order pizza and cold coffee.
hi_01.wav,hi-IN,Hindi,एक महत्वपूर्ण प्रोजेक्ट की समय सीमा पर काम कर रहा हूँ।
hi_02.wav,hi-IN,Hindi,मैं पिज्जा और ठंडी कॉफी ऑर्डर करना चाहूंगा।
hi_03.wav,hi-IN,Hindi,आज मौसम बहुत सुहावना और धूप वाला है।
hi_04.wav,hi-IN,Hindi,अगले सप्ताह मुंबई के लिए फ्लाइट बुक करनी है।
hi_05.wav,hi-IN,Hindi,"नमस्ते, आज आप कैसे हो?"
te_01.wav,te-IN,Telugu,నేను ఒక ముఖ్‌యమైన ప్రాజెక్ట్ డెడ్లైన్ పై పనిచేస్తున్నాను.
te_02.wav,te-IN,Telugu,ఈరోజు వాతావరణం చాలా ఆహ్లాదకరంగా మరియు ఎండగా ఉంది.
te_03.wav,te-IN,Telugu,నమస్కారం మీరు ఈరోజు ఎలా ఉన్నారు?
te_04.wav,te-IN,Telugu,నేను పిజ్జా మరియు చెల్లెని కాఫీ ఆర్డర్ చేయాలనుకుంటున్నాను.
te_05.wav,te-IN,Telugu,నేను వచ్చే వారం ముంబైకి ఫ్లైట్‌ బుక్ చేయాలి.
